N is 4
N is 4
omega has size 1
omega has size 2
omega has size 3
omega has size 4
theta has size 1theta has size 2theta has size 3theta has size 4theta has size 40, 12.6858, dt0
0, 13.8745, dt1
0, 12.0361, dt2
0, 9.5741, dt3
0.001, 11.3772, dt0
0.001, 13.2641, dt1
0.001, 10.7287, dt2
0.001, 10.2432, dt3
0.002, 11.514, dt0
0.002, 14.2943, dt1
0.002, 11.3797, dt2
0.002, 9.89926, dt3
0.003, 12.7444, dt0
0.003, 13.9025, dt1
0.003, 10.8995, dt2
0.003, 10.236, dt3
0.004, 12.4419, dt0
0.004, 14.0551, dt1
0.004, 11.004, dt2
0.004, 10.7308, dt3
0.005, 12.8854, dt0
0.005, 13.5567, dt1
0.005, 11.2853, dt2
0.005, 10.4402, dt3
0.006, 12.346, dt0
0.006, 14.7619, dt1
0.006, 11.6179, dt2
0.006, 10.5087, dt3
0.007, 11.9761, dt0
0.007, 13.7228, dt1
0.007, 11.6081, dt2
0.007, 10.3516, dt3
0.008, 12.5487, dt0
0.008, 13.9956, dt1
0.008, 10.9968, dt2
0.008, 10.6631, dt3
0.009, 13.1238, dt0
0.009, 13.4829, dt1
0.009, 11.3214, dt2
0.009, 10.7491, dt3
0.01, 12.1859, dt0
0.01, 14.4901, dt1
0.01, 11.2239, dt2
0.01, 10.755, dt3
0.011, 11.9631, dt0
0.011, 13.4587, dt1
0.011, 10.6752, dt2
0.011, 9.73769, dt3
0.012, 12.4568, dt0
0.012, 14.0953, dt1
0.012, 11.3174, dt2
0.012, 10.3751, dt3
0.013, 12.7258, dt0
0.013, 13.2609, dt1
0.013, 11.0986, dt2
0.013, 10.2753, dt3
0.014, 12.6469, dt0
0.014, 14.1096, dt1
0.014, 11.6355, dt2
0.014, 10.0163, dt3
0.015, 12.2309, dt0
0.015, 13.6443, dt1
0.015, 10.0345, dt2
0.015, 10.4882, dt3
0.016, 12.2787, dt0
0.016, 13.6992, dt1
0.016, 11.6279, dt2
0.016, 10.7126, dt3
0.017, 11.563, dt0
0.017, 13.9446, dt1
0.017, 10.8454, dt2
0.017, 10.5313, dt3
0.018, 12.3384, dt0
0.018, 13.8658, dt1
0.018, 11.5415, dt2
0.018, 10.8949, dt3
0.019, 11.8794, dt0
0.019, 13.7808, dt1
0.019, 11.4428, dt2
0.019, 9.8548, dt3
0.02, 12.5479, dt0
0.02, 14.3726, dt1
0.02, 11.0038, dt2
0.02, 10.5392, dt3
0.021, 12.5155, dt0
0.021, 14.0859, dt1
0.021, 10.5088, dt2
0.021, 10.6903, dt3
0.022, 12.1964, dt0
0.022, 13.5048, dt1
0.022, 11.4483, dt2
0.022, 10.6551, dt3
0.023, 12.858, dt0
0.023, 14.2713, dt1
0.023, 11.2251, dt2
0.023, 10.5009, dt3
0.024, 12.5726, dt0
0.024, 13.9768, dt1
0.024, 10.6521, dt2
0.024, 10.3029, dt3
0.025, 12.7436, dt0
0.025, 13.9534, dt1
0.025, 10.8553, dt2
0.025, 9.51986, dt3
0.026, 12.5687, dt0
0.026, 14.0383, dt1
0.026, 10.9395, dt2
0.026, 10.2926, dt3
0.027, 11.5981, dt0
0.027, 13.5297, dt1
0.027, 11.0676, dt2
0.027, 10.8306, dt3
0.028, 13.156, dt0
0.028, 13.3818, dt1
0.028, 11.0218, dt2
0.028, 10.2044, dt3
0.029, 12.3885, dt0
0.029, 13.5224, dt1
0.029, 11.4004, dt2
0.029, 10.5452, dt3
0.03, 13.0959, dt0
0.03, 14.282, dt1
0.03, 10.8298, dt2
0.03, 11.2925, dt3
0.031, 11.6029, dt0
0.031, 13.8095, dt1
0.031, 11.1986, dt2
0.031, 11.0889, dt3
0.032, 12.0487, dt0
0.032, 13.1518, dt1
0.032, 11.2299, dt2
0.032, 10.3924, dt3
0.033, 12.1462, dt0
0.033, 14.5844, dt1
0.033, 10.6436, dt2
0.033, 11.3811, dt3
0.034, 12.4011, dt0
0.034, 14.0841, dt1
0.034, 10.752, dt2
0.034, 10.8636, dt3
0.035, 12.161, dt0
0.035, 14.1694, dt1
0.035, 11.1511, dt2
0.035, 10.2091, dt3
0.036, 11.795, dt0
0.036, 14.0951, dt1
0.036, 10.4635, dt2
0.036, 10.6909, dt3
0.037, 12.0311, dt0
0.037, 13.5678, dt1
0.037, 11.0955, dt2
0.037, 9.77487, dt3
0.038, 11.7709, dt0
0.038, 14.0404, dt1
0.038, 11.6326, dt2
0.038, 11.4943, dt3
0.039, 13.2205, dt0
0.039, 13.3404, dt1
0.039, 10.8093, dt2
0.039, 11.1402, dt3
0.04, 12.7977, dt0
0.04, 12.9595, dt1
0.04, 10.7297, dt2
0.04, 10.026, dt3
0.041, 12.4721, dt0
0.041, 13.5775, dt1
0.041, 10.116, dt2
0.041, 10.9053, dt3
0.042, 12.5948, dt0
0.042, 14.496, dt1
0.042, 11.2703, dt2
0.042, 10.2438, dt3
0.043, 12.4339, dt0
0.043, 13.6274, dt1
0.043, 11.3665, dt2
0.043, 10.59, dt3
0.044, 13.0965, dt0
0.044, 12.7716, dt1
0.044, 10.9319, dt2
0.044, 10.4275, dt3
0.045, 12.1318, dt0
0.045, 13.3489, dt1
0.045, 11.4475, dt2
0.045, 11.1323, dt3
0.046, 12.6453, dt0
0.046, 14.3058, dt1
0.046, 10.8303, dt2
0.046, 10.3964, dt3
0.047, 12.4927, dt0
0.047, 13.9072, dt1
0.047, 10.3378, dt2
0.047, 10.3195, dt3
0.048, 11.8085, dt0
0.048, 14.2423, dt1
0.048, 11.1271, dt2
0.048, 11.2068, dt3
0.049, 12.4787, dt0
0.049, 13.8093, dt1
0.049, 11.1724, dt2
0.049, 9.80749, dt3
0.05, 12.7348, dt0
0.05, 13.3657, dt1
0.05, 10.3134, dt2
0.05, 10.7639, dt3
0.051, 12.8432, dt0
0.051, 12.5559, dt1
0.051, 11.1228, dt2
0.051, 10.4437, dt3
0.052, 12.6442, dt0
0.052, 13.3191, dt1
0.052, 11.6145, dt2
0.052, 10.7165, dt3
0.053, 12.9498, dt0
0.053, 12.9204, dt1
0.053, 11.0628, dt2
0.053, 11.3543, dt3
0.054, 12.7556, dt0
0.054, 14.1227, dt1
0.054, 10.8549, dt2
0.054, 10.1321, dt3
0.055, 12.0462, dt0
0.055, 14.2589, dt1
0.055, 11.5531, dt2
0.055, 10.7266, dt3
0.056, 12.2708, dt0
0.056, 12.5536, dt1
0.056, 11.2203, dt2
0.056, 11.5712, dt3
0.057, 13.2088, dt0
0.057, 13.5089, dt1
0.057, 11.7146, dt2
0.057, 10.2693, dt3
0.058, 13.5633, dt0
0.058, 14.0106, dt1
0.058, 11.258, dt2
0.058, 10.3924, dt3
0.059, 13.2917, dt0
0.059, 13.0891, dt1
0.059, 10.6905, dt2
0.059, 10.2678, dt3
0.06, 12.237, dt0
0.06, 13.3259, dt1
0.06, 10.663, dt2
0.06, 11.4953, dt3
0.061, 13.8788, dt0
0.061, 14.0829, dt1
0.061, 11.228, dt2
0.061, 10.8669, dt3
0.062, 12.3876, dt0
0.062, 13.9341, dt1
0.062, 11.6911, dt2
0.062, 10.8475, dt3
0.063, 12.5664, dt0
0.063, 13.1626, dt1
0.063, 10.4849, dt2
0.063, 11.0847, dt3
0.064, 13.4152, dt0
0.064, 13.1501, dt1
0.064, 10.5585, dt2
0.064, 10.932, dt3
0.065, 12.517, dt0
0.065, 13.8817, dt1
0.065, 10.2507, dt2
0.065, 10.6406, dt3
0.066, 13.0332, dt0
0.066, 13.6508, dt1
0.066, 10.983, dt2
0.066, 11.0119, dt3
0.067, 12.5881, dt0
0.067, 14.2514, dt1
0.067, 11.0505, dt2
0.067, 10.5697, dt3
0.068, 13.0636, dt0
0.068, 13.6447, dt1
0.068, 11.5516, dt2
0.068, 11.2398, dt3
0.069, 12.8808, dt0
0.069, 13.3418, dt1
0.069, 10.7134, dt2
0.069, 10.6723, dt3
0.07, 12.8443, dt0
0.07, 13.5741, dt1
0.07, 10.2607, dt2
0.07, 11.0629, dt3
0.071, 12.7911, dt0
0.071, 13.9934, dt1
0.071, 11.0113, dt2
0.071, 10.7067, dt3
0.072, 12.7156, dt0
0.072, 13.3462, dt1
0.072, 11.3622, dt2
0.072, 10.506, dt3
0.073, 13.3106, dt0
0.073, 13.5965, dt1
0.073, 12.1486, dt2
0.073, 10.9917, dt3
0.074, 11.7739, dt0
0.074, 13.8565, dt1
0.074, 10.7531, dt2
0.074, 10.4699, dt3
0.075, 13.2226, dt0
0.075, 12.9732, dt1
0.075, 11.3021, dt2
0.075, 11.0041, dt3
0.076, 12.7254, dt0
0.076, 13.8351, dt1
0.076, 11.4572, dt2
0.076, 10.4907, dt3
0.077, 13.3985, dt0
0.077, 13.8698, dt1
0.077, 11.2173, dt2
0.077, 11.0825, dt3
0.078, 12.5945, dt0
0.078, 13.6274, dt1
0.078, 10.6991, dt2
0.078, 10.1677, dt3
0.079, 12.6621, dt0
0.079, 12.9557, dt1
0.079, 10.8387, dt2
0.079, 10.6828, dt3
0.08, 12.8518, dt0
0.08, 13.2352, dt1
0.08, 11.2588, dt2
0.08, 10.0905, dt3
0.081, 12.4197, dt0
0.081, 13.9624, dt1
0.081, 11.2643, dt2
0.081, 10.3953, dt3
0.082, 12.2044, dt0
0.082, 13.3496, dt1
0.082, 11.3058, dt2
0.082, 10.8103, dt3
0.083, 12.8032, dt0
0.083, 12.8191, dt1
0.083, 11.3734, dt2
0.083, 9.49923, dt3
0.084, 12.6842, dt0
0.084, 13.3478, dt1
0.084, 11.4287, dt2
0.084, 11.3387, dt3
0.085, 12.9291, dt0
0.085, 13.8174, dt1
0.085, 11.1131, dt2
0.085, 10.0536, dt3
0.086, 12.8591, dt0
0.086, 13.3398, dt1
0.086, 10.9541, dt2
0.086, 10.0039, dt3
0.087, 12.8681, dt0
0.087, 13.2075, dt1
0.087, 10.8267, dt2
0.087, 10.6575, dt3
0.088, 12.7292, dt0
0.088, 13.3183, dt1
0.088, 11.1302, dt2
0.088, 10.3421, dt3
0.089, 12.4988, dt0
0.089, 13.566, dt1
0.089, 11.1184, dt2
0.089, 10.8242, dt3
0.09, 12.963, dt0
0.09, 12.8403, dt1
0.09, 11.5398, dt2
0.09, 10.6296, dt3
0.091, 12.6316, dt0
0.091, 12.8879, dt1
0.091, 11.5666, dt2
0.091, 10.9673, dt3
0.092, 12.4535, dt0
0.092, 12.9246, dt1
0.092, 10.9801, dt2
0.092, 10.1592, dt3
0.093, 12.0134, dt0
0.093, 13.3628, dt1
0.093, 10.7661, dt2
0.093, 9.95139, dt3
0.094, 13.5661, dt0
0.094, 13.7044, dt1
0.094, 10.657, dt2
0.094, 10.4533, dt3
0.095, 12.3355, dt0
0.095, 13.6423, dt1
0.095, 10.6155, dt2
0.095, 11.4374, dt3
0.096, 11.9851, dt0
0.096, 13.8382, dt1
0.096, 11.3766, dt2
0.096, 10.856, dt3
0.097, 13.1795, dt0
0.097, 13.0022, dt1
0.097, 10.4384, dt2
0.097, 10.9522, dt3
0.098, 12.2002, dt0
0.098, 12.0806, dt1
0.098, 11.7867, dt2
0.098, 11.6084, dt3
0.099, 12.8741, dt0
0.099, 13.8117, dt1
0.099, 11.1449, dt2
0.099, 10.982, dt3
0.1, 12.1154, dt0
0.1, 13.4658, dt1
0.1, 10.8887, dt2
0.1, 10.5192, dt3
0.101, 12.5448, dt0
0.101, 13.2149, dt1
0.101, 10.7681, dt2
0.101, 12.085, dt3
0.102, 12.5314, dt0
0.102, 13.697, dt1
0.102, 11.4721, dt2
0.102, 10.4174, dt3
0.103, 13.0598, dt0
0.103, 13.6037, dt1
0.103, 11.2776, dt2
0.103, 10.5961, dt3
